customer_id,customer_name,home_city
100001,"Pranav Ghosh",Pune
100002,"Sahil Menon",Chennai
100003,"Tanya Roy",Mumbai
100004,"Aryan Sinha",Jaipur
100005,"Anjali Rao",Bengaluru
100006,"Tushar Gupta",Chennai
100007,"Sara Verma",Chennai
100008,"Sanjay Khanna",Lucknow
100009,"Aarav Verma",Ahmedabad
100010,"Simran Kapoor",Mumbai
100011,"Aditya Saha",Bengaluru
100012,"Kabir Pandey",Bengaluru
100013,"Manish Singh",Delhi
100014,"Rahul Patel",Bengaluru
100015,"Ramesh Pillai",Mumbai
100016,"Chetan Naidu",Ahmedabad
100017,"Ananya Pillai",Delhi
100018,"Ayush Sharma",Bengaluru
100019,"Diya Saha",Bengaluru
100020,"Pranav Ghosh",Delhi
100021,"Rohit Malhotra",Pune
100022,"Farhan Hegde",Hyderabad
100023,"Hari Tripathi",Jaipur
100024,"Neha Rana",Pune
100025,"Vedant Kapoor",Ahmedabad
100026,"Uday Ghosh",Kolkata
100027,"Aarav Singh",Mumbai
100028,"Nisha Gupta",Hyderabad
100029,"Shreya Mukherjee",Bengaluru
100030,"Meera Mukherjee",Bengaluru
100031,"Varun Kapoor",Bengaluru
100032,"Zoya Yadav",Pune
100033,"Meera Hegde",Kolkata
100034,"Harsh Mishra",Delhi
100035,"Nandini Joshi",Mumbai
100036,"Sahil Menon",Delhi
100037,"Sneha Tripathi",Bengaluru
100038,"Amit Sharma",Hyderabad
100039,"Jay Sharma",Bengaluru
100040,"Tushar Sinha",Mumbai
100041,"Manav Goyal",Chennai
100042,"Ayaan Mishra",Chennai
100043,"Om Chopra",Chennai
100044,"Aryan Shetty",Bengaluru
100045,"Manish Jain",Pune
100046,"Meera Khanna",Hyderabad
100047,"Ankit Singh",Mumbai
100048,"Manish Bose",Bengaluru
100049,"Neha Verma",Ahmedabad
100050,"Amit Gupta",Jaipur
100051,"Sameer Tripathi",Ahmedabad
100052,"Krishna Pandey",Mumbai
100053,"Tushar Sharma",Mumbai
100054,"Akshay Saha",Kolkata
100055,"Diya Hegde",Lucknow
100056,"Aditi Goyal",Bengaluru
100057,"Raghav Chopra",Lucknow
100058,"Devansh Hegde",Mumbai
100059,"Om Menon",Chennai
100060,"Yashika Menon",Jaipur
100061,"Yash Shah",Mumbai
100062,"Tanya Naidu",Ahmedabad
100063,"Rudra Rana",Lucknow
100064,"Sara Pillai",Bengaluru
100065,"Sanjay Singh",Chennai
100066,"Om Bose",Chennai
100067,"Pooja Shah",Mumbai
100068,"Sneha Desai",Bengaluru
100069,"Yash Pillai",Mumbai
100070,"Amit Desai",Delhi
100071,"Pranav Agarwal",Kolkata
100072,"Esha Sinha",Chennai
100073,"Nandini Mishra",Pune
100074,"Vedant Hegde",Mumbai
100075,"Rohit Menon",Bengaluru
100076,"Shreya Iyer",Jaipur
100077,"Ishita Sinha",Bengaluru
100078,"Rahul Goyal",Lucknow
100079,"Arjun Sharma",Lucknow
100080,"Akash Nair",Bengaluru
100081,"Jay Yadav",Kolkata
100082,"Sara Desai",Chennai
100083,"Lakshay Thakur",Mumbai
100084,"Chetan Singh",Jaipur
100085,"Naman Chatterjee",Mumbai
100086,"Nandini Rana",Hyderabad
100087,"Ramesh Mukherjee",Delhi
100088,"Tushar Pillai",Mumbai
100089,"Manav Reddy",Delhi
100090,"Tushar Patel",Pune
100091,"Devansh Menon",Ahmedabad
100092,"Aarav Agarwal",Mumbai
100093,"Rohit Reddy",Bengaluru
100094,"Manish Pillai",Jaipur
100095,"Farhan Bansal",Mumbai
100096,"Arjun Sinha",Mumbai
100097,"Aditi Shetty",Mumbai
100098,"Vihaan Thakur",Delhi
100099,"Tara Naidu",Bengaluru
100100,"Diya Malhotra",Delhi
100101,"Rohan Yadav",Kolkata
100102,"Riya Nair",Bengaluru
100103,"Manav Banerjee",Mumbai
100104,"Vihaan Iyer",Lucknow
100105,"Ayaan Verma",Chennai
100106,"Aarav Pillai",Hyderabad
100107,"Shaurya Singh",Mumbai
100108,"Ayush Verma",Bengaluru
100109,"Harsh Naidu",Bengaluru
100110,"Ishaan Mukherjee",Hyderabad
100111,"Varun Menon",Delhi
100112,"Aarav Rana",Hyderabad
100113,"Harsh Shetty",Delhi
100114,"Gaurav Mishra",Delhi
100115,"Diya Singh",Ahmedabad
100116,"Vedant Saha",Bengaluru
100117,"Tara Jain",Delhi
100118,"Meera Yadav",Chennai
100119,"Naman Sharma",Mumbai
100120,"Pranav Rana",Lucknow
100121,"Rudra Kapoor",Mumbai
100122,"Jay Hegde",Hyderabad
100123,"Sumit Rana",Mumbai
100124,"Saanvi Patel",Bengaluru
100125,"Raghav Roy",Lucknow
100126,"Sumit Nair",Hyderabad
100127,"Raghav Singh",Pune
100128,"Ramesh Malhotra",Delhi
100129,"Ishita Pandey",Kolkata
100130,"Neha Nair",Delhi
100131,"Ayaan Kumar",Kolkata
100132,"Reyansh Naidu",Chennai
100133,"Reyansh Tripathi",Mumbai
100134,"Chetan Khanna",Hyderabad
100135,"Ramesh Mishra",Hyderabad
100136,"Shreya Rana",Pune
100137,"Sahil Naidu",Bengaluru
100138,"Saanvi Shetty",Mumbai
100139,"Ayush Chauhan",Chennai
100140,"Simran Pillai",Hyderabad
100141,"Shreya Mishra",Mumbai
100142,"Chetan Roy",Hyderabad
100143,"Hari Yadav",Kolkata
100144,"Harsh Agarwal",Ahmedabad
100145,"Devansh Bansal",Chennai
100146,"Bhavna Roy",Bengaluru
100147,"Meera Nair",Kolkata
100148,"Diya Pandey",Pune
100149,"Ishita Joshi",Mumbai
100150,"Ayush Jain",Ahmedabad
100151,"Ayush Das",Ahmedabad
100152,"Aniket Singh",Delhi
100153,"Simran Naidu",Kolkata
100154,"Rohit Hegde",Chennai
100155,"Ayaan Joshi",Hyderabad
100156,"Yash Roy",Mumbai
100157,"Devansh Bose",Delhi
100158,"Priya Rao",Lucknow
100159,"Sahil Mukherjee",Pune
100160,"Ananya Kumar",Kolkata
100161,"Pranav Thakur",Mumbai
100162,"Vedant Kapoor",Delhi
100163,"Deepak Gupta",Delhi
100164,"Manav Joshi",Kolkata
100165,"Farhan Reddy",Bengaluru
100166,"Nandini Desai",Hyderabad
100167,"Zoya Menon",Delhi
100168,"Farhan Banerjee",Mumbai
100169,"Ramesh Shah",Ahmedabad
100170,"Yash Pandey",Lucknow
100171,"Aditi Banerjee",Ahmedabad
100172,"Chetan Roy",Hyderabad
100173,"Dhruv Pandey",Bengaluru
100174,"Sneha Tripathi",Jaipur
100175,"Simran Verma",Bengaluru
100176,"Aditya Pandey",Jaipur
100177,"Anjali Sharma",Delhi
100178,"Aniket Sinha",Pune
100179,"Parth Roy",Lucknow
100180,"Tushar Agarwal",Kolkata
100181,"Shaurya Shetty",Jaipur
100182,"Ishita Kumar",Lucknow
100183,"Lakshay Mehta",Hyderabad
100184,"Gaurav Bansal",Chennai
100185,"Neha Nair",Bengaluru
100186,"Mohit Roy",Delhi
100187,"Manav Jain",Mumbai
100188,"Meera Bose",Ahmedabad
100189,"Sameer Nair",Kolkata
100190,"Vedant Hegde",Chennai
100191,"Ayush Sinha",Pune
100192,"Ayaan Khanna",Bengaluru
100193,"Riya Bose",Kolkata
100194,"Tara Ghosh",Ahmedabad
100195,"Esha Bansal",Kolkata
100196,"Rahul Tripathi",Lucknow
100197,"Krishna Chatterjee",Lucknow
100198,"Aryan Singh",Delhi
100199,"Ramesh Jain",Kolkata
100200,"Akash Jain",Kolkata
100201,"Sara Banerjee",Kolkata
100202,"Lakshay Sinha",Delhi
100203,"Nandini Rao",Lucknow
100204,"Hari Menon",Bengaluru
100205,"Krishna Yadav",Delhi
100206,"Pooja Roy",Ahmedabad
100207,"Aditya Joshi",Ahmedabad
100208,"Harsh Naidu",Kolkata
100209,"Ananya Banerjee",Mumbai
100210,"Pranav Nair",Delhi
100211,"Anaya Kumar",Mumbai
100212,"Tushar Pillai",Lucknow
100213,"Hari Sharma",Delhi
100214,"Sumit Banerjee",Delhi
100215,"Sara Naidu",Mumbai
100216,"Riya Roy",Mumbai
100217,"Akshay Chauhan",Kolkata
100218,"Aryan Chauhan",Kolkata
100219,"Reyansh Sharma",Mumbai
100220,"Om Nair",Mumbai
100221,"Rohit Chatterjee",Jaipur
100222,"Rohan Desai",Mumbai
100223,"Nikhil Thakur",Bengaluru
100224,"Pranav Kapoor",Delhi
100225,"Ayaan Menon",Chennai
100226,"Kabir Gupta",Bengaluru
100227,"Neha Iyer",Mumbai
100228,"Pooja Shetty",Kolkata
100229,"Devansh Agarwal",Pune
100230,"Riya Tripathi",Chennai
100231,"Rohan Sharma",Bengaluru
100232,"Uday Shetty",Delhi
100233,"Sneha Das",Lucknow
100234,"Devansh Thakur",Mumbai
100235,"Kavya Shah",Delhi
100236,"Parth Shah",Ahmedabad
100237,"Raghav Saha",Delhi
100238,"Priya Chauhan",Chennai
100239,"Arjun Mukherjee",Kolkata
100240,"Nandini Banerjee",Bengaluru
100241,"Pari Kumar",Jaipur
100242,"Esha Mehta",Delhi
100243,"Farhan Sharma",Chennai
100244,"Nisha Yadav",Jaipur
100245,"Rohan Jain",Mumbai
100246,"Esha Malhotra",Lucknow
100247,"Pooja Shetty",Kolkata
100248,"Harsh Agarwal",Kolkata
100249,"Pari Iyer",Pune
100250,"Sameer Shah",Hyderabad
100251,"Esha Ghosh",Mumbai
100252,"Tara Hegde",Delhi
100253,"Pranav Sharma",Pune
100254,"Ishita Mittal",Bengaluru
100255,"Vihaan Bansal",Hyderabad
100256,"Arjun Reddy",Pune
100257,"Sahil Bose",Chennai
100258,"Devansh Mittal",Ahmedabad
100259,"Aditya Roy",Pune
100260,"Tushar Yadav",Pune
100261,"Esha Naidu",Hyderabad
100262,"Varun Sinha",Mumbai
100263,"Ananya Pillai",Mumbai
100264,"Esha Hegde",Bengaluru
100265,"Vihaan Agarwal",Bengaluru
100266,"Ayush Kumar",Bengaluru
100267,"Sara Menon",Chennai
100268,"Sanjay Kumar",Bengaluru
100269,"Aditya Hegde",Jaipur
100270,"Meera Saha",Bengaluru
100271,"Ishaan Pandey",Mumbai
100272,"Mohit Thakur",Pune
100273,"Akash Rao",Kolkata
100274,"Shreya Kapoor",Ahmedabad
100275,"Aditi Rana",Pune
100276,"Raghav Mukherjee",Bengaluru
100277,"Sara Khanna",Mumbai
100278,"Siddharth Goyal",Mumbai
100279,"Ishita Mishra",Ahmedabad
100280,"Ayush Mishra",Delhi
100281,"Naman Verma",Bengaluru
100282,"Jay Naidu",Lucknow
100283,"Tara Shah",Hyderabad
100284,"Aarav Saha",Lucknow
100285,"Yashika Gupta",Mumbai
100286,"Saanvi Chopra",Mumbai
100287,"Simran Sinha",Delhi
100288,"Kabir Chopra",Bengaluru
100289,"Dhruv Roy",Hyderabad
100290,"Aryan Chopra",Chennai
100291,"Tushar Singh",Chennai
100292,"Harsh Singh",Pune
100293,"Akash Mittal",Chennai
100294,"Ishita Chatterjee",Mumbai
100295,"Manish Iyer",Chennai
100296,"Diya Pandey",Bengaluru
100297,"Om Rao",Kolkata
100298,"Bhavna Jain",Hyderabad
100299,"Ayush Nair",Hyderabad
100300,"Naman Bansal",Bengaluru
100301,"Vivaan Naidu",Delhi
100302,"Nisha Roy",Lucknow
100303,"Ayaan Verma",Lucknow
100304,"Varun Desai",Hyderabad
100305,"Tushar Gupta",Mumbai
100306,"Aryan Malhotra",Pune
100307,"Ishaan Joshi",Bengaluru
100308,"Manav Singh",Bengaluru
100309,"Anjali Verma",Mumbai
100310,"Naman Patel",Mumbai
100311,"Aditya Chauhan",Hyderabad
100312,"Akash Singh",Bengaluru
100313,"Aryan Tripathi",Delhi
100314,"Rohit Reddy",Bengaluru
100315,"Chetan Sharma",Lucknow
100316,"Ankit Sharma",Chennai
100317,"Aditya Chopra",Jaipur
100318,"Aarav Sharma",Ahmedabad
100319,"Yash Banerjee",Mumbai
100320,"Yash Verma",Hyderabad
100321,"Rohit Mukherjee",Bengaluru
100322,"Riya Yadav",Ahmedabad
100323,"Bhavna Chatterjee",Mumbai
100324,"Rohan Banerjee",Lucknow
100325,"Sanjay Patel",Bengaluru
100326,"Akash Mehta",Bengaluru
100327,"Zoya Mishra",Kolkata
100328,"Manav Bansal",Kolkata
100329,"Hari Yadav",Lucknow
